Unique ID,Elements and their Structure,Description of Interaction (with prompt examples),List of all codes in prompt
11,Game Style -> Player Role/Persona;Player Role/Persona -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Choice & Consequence;Choice & Consequence -> Social Comparison;Progression Mechanics (Ethics Score) -> Feedback System;AI Persona/Role (for the bot itself) -> Response Style,"Game Style -> Player Role/Persona: The Game Style as a ""thrilling multiplayer roleplaying game"" allows players to adopt a Player Role/Persona such as ""📰 Journalist"", ""🎬 Content Creator"", or ""🏛️ Regulator"".\nPlayer Role/Persona -> Challenge/Obstacle Types: Each Player Role/Persona faces tailored Challenge/Obstacle Types (ethical dilemmas). For example, ""A journalist uncovering misinformation in a viral post"" or ""An advertiser deciding whether to use a manipulative FOMO tactic"".\nChallenge/Obstacle Types -> Choice & Consequence: Faced with dilemmas (Challenge/Obstacle Types), players ""must decide how to respond"" (Choice & Consequence), and the AI ""explaining the ethical stakes of their choice"".\nChoice & Consequence -> Social Comparison: The multiplayer nature means player choices (Choice & Consequence) are subject to Social Comparison as the AI ""Encourages multiplayer engagement by prompting other players to react, vote, or collaborate on the decision"". Some dilemmas may also create ""conflicting interests"".\nProgression Mechanics (Ethics Score) -> Feedback System: The ""Ethics Score"" (Progression Mechanics) serves as a Feedback System as ""The AI tracks ethical decision-making and provides feedback on how ethical (or exploitative) the players’ actions are"".\nAI Persona/Role (for the bot itself) -> Response Style: The AI Persona/Role as an ""AI Game Master"" should be ""🎭 Immersive & Engaging: Acting like a real game master with dynamic narration"", which defines its Response Style.","Game Style,Player Role/Persona,Challenge/Obstacle Types,Choice & Consequence,Social Comparison,Progression Mechanics (Ethics Score),Feedback System,AI Persona/Role (for the bot itself),Response Style,Learning Objectives (Implicit: ethics, critical thinking),Input Modality (choice-based, suggested actions),Assessment (Summative: final score, reflection),Response Constraints"
12,Learning Objectives (Explicit) -> Game Style;Game Style -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Learning Objectives (Implicit),"Learning Objectives (Explicit) -> Game Style: The Learning Objectives (Explicit) to ""talks about the different types of data collected by companies like Meta, X, Amazon..."" and ""see how many details the users know about the different data privacy policies"" suggests a Game Style that is investigative or quiz-based.\nGame Style -> Challenge/Obstacle Types: The game would likely involve Challenge/Obstacle Types where users are questioned about ""what all data does the apps use and how they use it"".\nChallenge/Obstacle Types -> Learning Objectives (Implicit): By engaging with these challenges, an Learning Objectives (Implicit) would be to increase user awareness and critical understanding of data privacy.","Learning Objectives (Explicit),Game Style (Implied: educational game),Challenge/Obstacle Types (Implied: knowledge checks, scenarios),Learning Objectives (Implicit: data privacy awareness)"
13,AI Persona/Role (for the bot itself) -> Narrative Framing;Narrative Framing -> Player Role/Persona;Challenge/Obstacle Types -> NPC Interaction Style;NPC Interaction Style -> Choice & Consequence;Choice & Consequence -> Feedback System (Debrief),"AI Persona/Role (for the bot itself) -> Narrative Framing: The AI Persona/Role as an ""advanced AI chatbot designed to teach students about digital privacy"" creates the Narrative Framing of being immersed ""in a realistic online scam experience"".\nNarrative Framing -> Player Role/Persona: The scam simulation (Narrative Framing) places the student in the Player Role/Persona of a potential victim engaging with various ""scammer personas"".\nChallenge/Obstacle Types -> NPC Interaction Style: The AI embodies different scammer types (e.g., ""Phishing Scammer"", ""Tech Support Scammer"") (Challenge/Obstacle Types), each with ""distinct objectives, techniques, and conversational styles"" (NPC Interaction Style). For example, a Phishing Scammer might ""Claim there is an urgent issue with their account"".\nNPC Interaction Style -> Choice & Consequence: The scammer's persuasive tactics (NPC Interaction Style) aim to elicit Choice & Consequence from the student, such as being manipulated into sharing ""email, password, security codes, or credit card information"". The AI ""adapt its responses based on the student's replies"".\nChoice & Consequence -> Feedback System (Debrief): After the student engages and makes choices (Choice & Consequence), the Feedback System is a debrief: ""reveal the scam with a final warning message"" and ""Provide detailed feedback on what they did right or wrong, explaining the red flags they missed"".","AI Persona/Role (for the bot itself),Narrative Framing,Player Role/Persona,Challenge/Obstacle Types,NPC Interaction Style,Choice & Consequence,Feedback System,Error Analysis/Handling (Pedagogical) (via debrief),Learning Objectives (Explicit and Implicit),Game Pacing/Flow Control (time-sensitive elements),Response Constraints"
14,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Player Role/Persona;Player Role/Persona -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Instructional Content Delivery;Feedback System -> AI Literacy Components;Metacognition/Reflection Prompts -> Progression Mechanics,"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role as a ""friendly PRACTICE bot"" has the Learning Objectives (Explicit) to teach ""EXPERIMENTAL RESEARCH DESIGN practices"" like ""IDENTIFYING INDEPENDENT AND DEPENDENT CONCEPTUAL VARIABLES"".\nLearning Objectives (Explicit) -> Player Role/Persona: The learning objectives are achieved by having students take on different Player Role/Persona stages: ""INVESTIGATOR, EVALUATOR, and MENTOR"".\nPlayer Role/Persona -> Challenge/Obstacle Types: Each Player Role/Persona involves specific Challenge/Obstacle Types: Investigators get ""scenario-based questions"", Evaluators get ""critique questions"", and Mentors get ""problem-based questions"".\nChallenge/Obstacle Types -> Instructional Content Delivery: Scenarios for these challenges (Instructional Content Delivery) ""need to DESCRIBE ALL EXPERIMENTAL DESIGN elements"" and ""SHOULD ALWAYS introduce interesting NPC characters"".\nFeedback System -> AI Literacy Components: The Feedback System incorporates AI Literacy Components by prompting students to ""EVALUATE: Encourage students to check your recommendations for accuracy, reliability, relevance, completeness, and bias"".\nMetacognition/Reflection Prompts -> Progression Mechanics: Metacognition/Reflection Prompts like asking students to ""reflect on their understanding"" are used before ""moving to the next level"" (Progression Mechanics) (e.g., ""level 1-> level 2: 'Great job identifying elements... Now, you're ready to try giving peer feedback.'"").","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Player Role/Persona,Challenge/Obstacle Types,Instructional Content Delivery,Feedback System,AI Literacy Components,Metacognition/Reflection Prompts,Progression Mechanics,Scaffolding (levels of increasing complexity),Response Style,Content Boundaries,Response Constraints,NPC Presence & Type,Practice Opportunities,Assessment (Formative)"
15,AI Persona/Role (for the bot itself) -> Player Role/Persona;Player Role/Persona -> Metacognition/Reflection Prompts;Metacognition/Reflection Prompts -> Challenge/Obstacle Types;Feedback System -> AI Literacy Components;Progression Mechanics -> Learning Objectives (Explicit),"AI Persona/Role (for the bot itself) -> Player Role/Persona: The AI Persona/Role as a ""friendly DESIGN bot"" engages students in various Player Role/Persona stages: ""RESEARCHER, PLANNER, EVALUATOR, and COLLABORATOR"".\nPlayer Role/Persona -> Metacognition/Reflection Prompts: As a ""PLANNER"" (Player Role/Persona), the student is prompted with Metacognition/Reflection Prompts to ""SET LEARNING GOALS for the interaction"".\nMetacognition/Reflection Prompts -> Challenge/Obstacle Types: Student-set goals (Metacognition/Reflection Prompts) then shape the Challenge/Obstacle Types as the bot supports ""students in pursuing their goals by suggesting reflection questions or giving them scenario-based questions...related to their study"".\nFeedback System -> AI Literacy Components: The Feedback System (AI recommendations) is linked to AI Literacy Components by prompting students to ""EVALUATE: Encourage students to check your recommendations for accuracy, reliability, relevance, completeness, and bias"".\nProgression Mechanics -> Learning Objectives (Explicit): Each level of progression (e.g., ""Level 1: RESEARCHER"", ""Level 4: COLLABORATOR"") (Progression Mechanics) has specific Learning Objectives (Explicit) such as ""Students need to include ALL elements of experimental research design in their summary"" for Level 1.","AI Persona/Role (for the bot itself),Player Role/Persona,Metacognition/Reflection Prompts,Challenge/Obstacle Types,Feedback System,AI Literacy Components,Progression Mechanics,Learning Objectives (Explicit),Instructional Content Delivery,Response Style,Content Boundaries,Response Constraints,Practice Opportunities,Assessment (Formative)"
16,Game Style -> Narrative Framing;Narrative Framing -> Player Role/Persona;Player Role/Persona -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Input Modality;Challenge/Obstacle Types -> Reward System;NPC Presence & Type -> Challenge/Obstacle Types,"Game Style -> Narrative Framing: The Game Style as an ""immersive Alternate Reality Game (ARG)"" sets the Narrative Framing where players ""battle The Smog King"" and awaken ""five ancient nature spirits"".\nNarrative Framing -> Player Role/Persona: This narrative casts the player in the Player Role/Persona of ""Earth’s Guardians"".\nPlayer Role/Persona -> Challenge/Obstacle Types: As Guardians (Player Role/Persona), players face Challenge/Obstacle Types that include both digital ""Puzzle Riddles & Visual Clues"" and ""Real-World Task System"" actions like ""Collect 10 pieces of litter"".\nChallenge/Obstacle Types -> Input Modality: The real-world tasks (Challenge/Obstacle Types) require a specific Input Modality: players must ""submit photographic proof to progress"".\nChallenge/Obstacle Types -> Reward System: Completing tasks and puzzles (Challenge/Obstacle Types) unlocks elements of the Reward System such as ""Eco-Magic Powers"" (e.g., ""Wind Whisperer"") or ""Eco-Coins"".\nNPC Presence & Type -> Challenge/Obstacle Types: NPC Presence & Type like ""The Smog King (Main antagonist)"" can introduce Challenge/Obstacle Types by ""sabotages progress by adding chaos puzzles"".","Game Style,Narrative Framing,Player Role/Persona,Challenge/Obstacle Types,Input Modality,Reward System,NPC Presence & Type,NPC Interaction Style,Visual Elements,Progression Mechanics,Learning Objectives (Implicit: climate action, problem-solving),Assessment (Summative: Win/Lose conditions)"
17,Narrative Framing -> Player Role/Persona;Player Role/Persona -> Learning Objectives (Explicit);Challenge/Obstacle Types -> Resource Management;Challenge/Obstacle Types -> Feedback System (Logic Meter);Reward System -> Challenge/Obstacle Types;NPC Presence & Type -> Challenge/Obstacle Types (Puzzle Duels),"Narrative Framing -> Player Role/Persona: The Narrative Framing of a realm where ""angles, waves, and identities shape the fate of all"" casts the player in the Player Role/Persona of ""the Seeker — a chosen hero destined to reclaim the shattered Circle of Balance"".\nPlayer Role/Persona -> Learning Objectives (Explicit): As the Seeker (Player Role/Persona), the Learning Objectives (Explicit) are to ""master the powers of trigonometry — solving puzzles, battling foes, and earning magical abilities"".\nChallenge/Obstacle Types -> Resource Management: Incorrect answers to puzzles (Challenge/Obstacle Types) impact Resource Management as the ""Logic Meter (Health System)... drops by -10% for incorrect answers"".\nChallenge/Obstacle Types -> Feedback System (Logic Meter): The ""Logic Meter"" acts as a Feedback System for performance on Challenge/Obstacle Types, increasing for correct answers/victories and decreasing for errors.\nReward System -> Challenge/Obstacle Types: The Reward System includes ""Magic Powers"" (e.g., ""Sine Shield"") which are unlocked ""after major victories"" and can then be used to aid in future Challenge/Obstacle Types (e.g., ""Tangent Trap can freeze the enemy"").\nNPC Presence & Type -> Challenge/Obstacle Types (Puzzle Duels): ""Boss NPCs (Trig Lords)"" (NPC Presence & Type) create Challenge/Obstacle Types by engaging the player in ""Puzzle Duels, where each correct answer weakens their attacks"".","Narrative Framing,Player Role/Persona,Learning Objectives (Explicit),Challenge/Obstacle Types,Resource Management,Feedback System,Reward System,NPC Presence & Type,NPC Interaction Style,World/Setting,Progression Mechanics,Failure Handling,Failure States/Penalties,Visual Elements (Map progression),Practice Opportunities"
18,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Narrative Framing;Narrative Framing -> NPC Presence & Type;NPC Presence & Type -> Input Modality (Dialogue);Visual Elements -> Narrative Framing;Reward System (Collectibles) -> Game Pacing/Flow Control,"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role is ""an AI who teaches various dilemmas of world history"" (Learning Objectives (Explicit)), covering ""colonialism, kings, kingdoms, world wars"".\nLearning Objectives (Explicit) -> Narrative Framing: To make learning history fun (Learning Objectives (Explicit)), the AI must ""make it a game"" (Narrative Framing) with ""dialogues with various characters in history"".\nNarrative Framing -> NPC Presence & Type: The game Narrative Framing requires NPC Presence & Type through ""dialogues with various characters in history"", allowing the player to interact with historical figures.\nNPC Presence & Type -> Input Modality (Dialogue): Interactions with historical NPCs (NPC Presence & Type) facilitate Input Modality where the player can ""share their opinions"" through dialogue.\nVisual Elements -> Narrative Framing: The instruction to ""Create various scenes using ASCII"" (Visual Elements) is meant to ""enhance the visual aspect of the learner"" and support the historical Narrative Framing.\nReward System (Collectibles) -> Game Pacing/Flow Control: The inclusion of ""secret side missions, side quests, and collectibles"" (Reward System) can influence Game Pacing/Flow Control by offering diversions and extending engagement.","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Narrative Framing,NPC Presence & Type,Input Modality,Visual Elements,Reward System,Choice & Consequence (sharing opinions),Response Constraints,Game Style (historical dilemma game)"
19,Narrative Framing -> Player Role/Persona;Player Role/Persona -> Resource Management;Challenge/Obstacle Types -> Input Modality;Progression Mechanics -> Reward System (Badges);Metacognition/Reflection Prompts -> Feedback System;Social Comparison -> Progression Mechanics,"Narrative Framing -> Player Role/Persona: The Narrative Framing of an ""interactive chatbot game designed to sharpen your financial acumen"" casts the player in the Player Role/Persona of ""an engineering prodigy"" starting with virtual capital.\nPlayer Role/Persona -> Resource Management: As an engineering prodigy (Player Role/Persona), the quest is to ""Build and maintain a successful, diversified portfolio"" (Resource Management) starting with ""a virtual capital of $100,000"".\nChallenge/Obstacle Types -> Input Modality: Players face Challenge/Obstacle Types like ""sudden market crashes"" or ""lucrative financial opportunities"" and use Input Modality of ""typing natural language commands to buy, sell, and diversify"" (e.g., ""Buy $5000 worth of Tesla stock"").\nProgression Mechanics -> Reward System (Badges): Advancing through ranks like ""Novice Trader → Market Master"" (Progression Mechanics) is complemented by a Reward System of ""Achievements & Badges"" like ""'Bull Rider' Badge"".\nMetacognition/Reflection Prompts -> Feedback System: ""Periodic interactive reflection segments"" (Metacognition/Reflection Prompts) like ""Reflect on your strategy and share what you would do differently next time?"" serve as a Feedback System for learning.\nSocial Comparison -> Progression Mechanics: The ""Leaderboard and Peer Comparison"" (Social Comparison) provides a way to track Progression Mechanics relative to ""other engineering students"" (e.g. ""Show me my rank this month."").","Narrative Framing,Player Role/Persona,Resource Management,Challenge/Obstacle Types,Input Modality,Progression Mechanics,Reward System,Metacognition/Reflection Prompts,Feedback System,Social Comparison,Learning Objectives (Implicit: financial literacy),Assessment (Formative: reflection prompts; Summative: portfolio growth),Visual Elements (summarized visualizations)"
20,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Instructional Content Delivery;Instructional Content Delivery -> Practice Opportunities;Practice Opportunities -> Error Analysis/Handling (Pedagogical);Feedback System (Anger Level) -> Response Style;Progression Mechanics -> Assessment (Summative),"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role is a ""math teacher"" whose Learning Objectives (Explicit) are to teach ""basic addition...subtraction, then multiplication, then division"" and ultimately ""fractions"".\nLearning Objectives (Explicit) -> Instructional Content Delivery: The AI must ""Teach users how to do something before giving them questions"" (Instructional Content Delivery), for example, ""teaching them what addition means"" before asking ""2 + 3"".\nInstructional Content Delivery -> Practice Opportunities: After teaching (Instructional Content Delivery), the AI provides Practice Opportunities through ""simple questions with the user being prompted to give an answer"".\nPractice Opportunities -> Error Analysis/Handling (Pedagogical): If the user ""cannot get the right answer"" during Practice Opportunities, the AI ""must guide them to it without revealing it directly"" or ""give them the answer and then give them another question centered around teaching the same concept"" (Error Analysis/Handling (Pedagogical)).\nFeedback System (Anger Level) -> Response Style: The AI has an ""'anger' level"" (Feedback System) that ""affects your tone and phrasing"" (Response Style). Repeated incorrect answers ""increase your 'anger', speaking more impatiently and sarcastically"". Success decreases anger, returning to ""accepting and patient"".\nProgression Mechanics -> Assessment (Summative): The Progression Mechanics involve mastering concepts sequentially (""Do not move past a concept until the user has demonstrated their mastery""). The Assessment (Summative) is when ""the user has shown that they can add, subtract, multiply, divide, and then use those operations on fractions, you will tell the user they've won"".","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Instructional Content Delivery,Practice Opportunities,Error Analysis/Handling (Pedagogical),Feedback System (Anger Level),Response Style,Progression Mechanics,Assessment (Summative),Visual Elements (emojis),Game Pacing/Flow Control (mastery-based),Scaffolding (guided answers),Response Constraints"
21,AI Persona/Role (for the bot itself) -> Game Style;Game Style -> Resource Management;Challenge/Obstacle Types (Betting) -> Choice & Consequence;Choice & Consequence -> Feedback System (Payout);NPC Presence & Type (Other players) -> Social Comparison (Implied),"AI Persona/Role (for the bot itself) -> Game Style: The AI Persona/Role as a ""Casino host for a roulette game"" establishes the Game Style of a simulated gambling experience.\nGame Style -> Resource Management: The roulette game (Game Style) involves Resource Management as the player is ""allot[ted]... $1000 to play with and they cannot exceed that amount unless made more money"".\nChallenge/Obstacle Types (Betting) -> Choice & Consequence: The Challenge/Obstacle Type is making bets (e.g., ""red or black, numbers 0-36""). This Choice & Consequence determines if the player wins or loses money based on a ""simmulate[d] roll"".\nChoice & Consequence -> Feedback System (Payout): After the roll (Choice & Consequence), the Feedback System involves telling the player ""what it landed on and their expected payout"".\nNPC Presence & Type (Other players) -> Social Comparison (Implied): The instruction to ""Add other players who also bet periodically"" (NPC Presence & Type) can lead to implicit Social Comparison if their wins/losses are mentioned, and the suggestion to ""ask if they want to tip the dealer"" if the ""table is winning collectivley"" reinforces this social atmosphere.","AI Persona/Role (for the bot itself),Game Style,Resource Management,Challenge/Obstacle Types,Choice & Consequence,Feedback System,NPC Presence & Type,Social Comparison (Implied),Learning Objectives (Implicit: understanding roulette),Visual Elements (Implied: simulation of game)"
22,Narrative Framing -> Player Role/Persona;Player Role/Persona -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Learning Objectives (Explicit);Challenge/Obstacle Types -> Input Modality (Code);Input Modality (Code) -> Feedback System;Feedback System -> Error Analysis/Handling (Pedagogical),"Narrative Framing -> Player Role/Persona: The Narrative Framing of being ""Stranded In Space” where the user is trapped inside of a spaceship"" casts the Player Role/Persona as someone who needs to repair the ship.\nPlayer Role/Persona -> Challenge/Obstacle Types: The player (Player Role/Persona) must repair ""5 different components of the spaceship"" (e.g., ""the Engine, the Oxygen""), each presenting a Challenge/Obstacle Type in the form of a ""programming challenge"".\nChallenge/Obstacle Types -> Learning Objectives (Explicit): Each programming challenge (Challenge/Obstacle Type) is designed to help users ""learn how to code in the programming language Python"" (Learning Objectives (Explicit)).\nChallenge/Obstacle Types -> Input Modality (Code): To solve the ""programming challenge"" (Challenge/Obstacle Types), the user provides their solution via Input Modality (Code): ""They will then give you their solution"".\nInput Modality (Code) -> Feedback System: After code submission (Input Modality (Code)), the Feedback System involves the AI checking ""if it is correct or not, and if it is right, you will give a time analysis"".\nFeedback System -> Error Analysis/Handling (Pedagogical): If the solution is wrong (Feedback System), the Error Analysis/Handling (Pedagogical) is to inform the user ""this answer is incorrect, would you like to try again, get a hint, or get the answer"".","Narrative Framing,Player Role/Persona,Challenge/Obstacle Types,Learning Objectives (Explicit),Input Modality,Feedback System,Error Analysis/Handling (Pedagogical),Progression Mechanics (repairing components),Scaffolding (hints),Customization (order of choosing components)"
23,Narrative Framing -> Player Role/Persona;World/Setting -> NPC Presence & Type;NPC Presence & Type -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Learning Objectives (Explicit);Progression Mechanics (Exploration) -> Reward System (Score);Assessment (Summative) -> Reward System (Score),"Narrative Framing -> Player Role/Persona: The Narrative Framing of guiding ""the user through an ancient and unknown catacomb"" establishes the Player Role/Persona as an explorer.\nWorld/Setting -> NPC Presence & Type: The ""catacombs contain mysterious dungeons filled with unique NPCs"" (World/Setting leading to NPC Presence & Type) who ""guide the player to various treasures"".\nNPC Presence & Type -> Challenge/Obstacle Types: NPCs (NPC Presence & Type) present Challenge/Obstacle Types as they ""guide the player only if they answer basic questions on Spanish language comprehension"".\nChallenge/Obstacle Types -> Learning Objectives (Explicit): These ""simple grammar and vocabulary questions"" (Challenge/Obstacle Types) serve the Learning Objectives (Explicit) of practicing Spanish.\nProgression Mechanics (Exploration) -> Reward System (Score): Exploring new areas (Progression Mechanics) contributes to the Reward System: ""Add 5 points for each new area the player explores"".\nAssessment (Summative) -> Reward System (Score): The Assessment (Summative) is a ""final score after the player decides to leave the catacombs"" which is part of the Reward System, based on ""how many questions they get right, how far they travel...and if they receive the treasure and the key"".","Narrative Framing,Player Role/Persona,World/Setting,NPC Presence & Type,NPC Interaction Style,Challenge/Obstacle Types,Learning Objectives (Explicit),Progression Mechanics,Reward System,Assessment (Summative),Input Modality (Choice-based, answers),Visual Elements (emojis),Game Style (Zork-like exploration)"
24,Narrative Framing -> Player Role/Persona;Learning Objectives (Explicit) -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Resource Management;Resource Management -> Progression Mechanics (Licenses);NPC Presence & Type (Crew) -> Resource Management (Catch Limit);Choice & Consequence (Sustainability) -> Feedback System (Strikes/XP),"Narrative Framing -> Player Role/Persona: The Narrative Framing of joining the ""Fishing Coalition"" and starting as a beginner casts the Player Role/Persona as an ""Angler"" whose goal is to ""Become a master angler"".\nLearning Objectives (Explicit) -> Challenge/Obstacle Types: The Learning Objectives (Explicit) to ""learn about and how to fish, discover different species, and learn sustainable fishing practices"" are achieved through Challenge/Obstacle Types like the ""fishing minigame"" and adhering to ""licensing rules"".\nChallenge/Obstacle Types -> Resource Management: Fishing (Challenge/Obstacle Types) involves Resource Management of ""Money"" (for licenses, gear), ""XP"", ""daily catch limits"", and ""time (a 2-month fishing season)"".\nResource Management -> Progression Mechanics (Licenses): Resource Management (gaining XP and money) enables Progression Mechanics like upgrading licenses (e.g., ""NearShore License cost $500, Player Level 10"").\nNPC Presence & Type (Crew) -> Resource Management (Catch Limit): Hiring NPCs for your crew (NPC Presence & Type) affects Resource Management as ""NPCs that are part of your crew increase your total fishing cap"".\nChoice & Consequence (Sustainability) -> Feedback System (Strikes/XP): Player choices regarding sustainable fishing (Choice & Consequence) lead to a Feedback System: ""Sustainable Practice = 🎊 Congrats!... +20XP"" or ""Unsustainable Practice = 📜 License Violation Detected...⚠️ Strike 1"".","Narrative Framing,Player Role/Persona,Learning Objectives (Explicit),Challenge/Obstacle Types,Resource Management,Progression Mechanics,NPC Presence & Type,Choice & Consequence,Feedback System,Reward System (XP, money, titles),Assessment (Summative: Endgame score/title),Input Modality (Choice-based, minigame interaction),World/Setting (Port Office, Merchants, Fishing locations),Scaffolding (Learn About Fishing section),Failure States/Penalties (License revocation)"
25,Narrative Framing -> Player Role/Persona;Resource Management (Lives) -> Failure Handling;Challenge/Obstacle Types (Enemy Rooms) -> Choice & Consequence (Combat);Reward System (Weapons) -> Challenge/Obstacle Types;Progression Mechanics (Score) -> Visual Elements (Score display);Choice & Consequence (Rest Room) -> Resource Management OR Progression Mechanics,"Narrative Framing -> Player Role/Persona: The Narrative Framing of a ""haunted house game"" casts the Player Role/Persona as someone who must ""progress through it for as long as they can"".\nResource Management (Lives) -> Failure Handling: The player has ""3 lives"" (Resource Management). If lives are depleted, this leads to Failure Handling (implied game over, though not explicitly stated as ""game over"" in this section, loss of all lives is a failure).\nChallenge/Obstacle Types (Enemy Rooms) -> Choice & Consequence (Combat): Entering an ""enemy room"" (Challenge/Obstacle Type) leads to combat (Choice & Consequence) where the player rolls a dice against the enemy's ""danger level"". ""If the roll is lower... take one life from the player"".\nReward System (Weapons) -> Challenge/Obstacle Types: Entering a ""loot room"" provides a weapon (Reward System) which ""increases your chances of surviving an enemy room"" (Challenge/Obstacle Types) by adding to the dice roll (e.g. ""if the player has a +2 weapon and rolls a 6, add 2 and say he rolled an 8"").\nProgression Mechanics (Score) -> Visual Elements (Score display): Progression Mechanics are tracked as ""Each room you progress through increases your score by 1"", and the AI must ""tell them the score they are on before entering a room"" (Visual Elements implied by display).\nChoice & Consequence (Rest Room) -> Resource Management OR Progression Mechanics: In a ""rest room"", the player makes a Choice & Consequence: ""regain a life"" (affecting Resource Management) or ""gain a score multiplier"" (affecting Progression Mechanics).","Narrative Framing,Player Role/Persona,Resource Management,Failure Handling,Challenge/Obstacle Types,Choice & Consequence,Reward System,Progression Mechanics,Visual Elements (Implied score/life display),Input Modality (Choice-based),NPC Interaction Style (Narrator as horror author),Feedback System (Life level, score updates)"
26,Narrative Framing -> Player Role/Persona;Learning Objectives (Explicit) -> Challenge/Obstacle Types;Challenge/Obstacle Types (Noise) -> NPC Interaction Style (Creature hunts);Input Modality -> Choice & Consequence;Progression Mechanics (Escape/Kill) -> Assessment (Summative),"Narrative Framing -> Player Role/Persona: The Narrative Framing of being ""lost in the woods"" with a ""creature that will be hunting them"" casts the Player Role/Persona as a survivor.\nLearning Objectives (Explicit) -> Challenge/Obstacle Types: The Learning Objectives (Explicit) to ""teach about survival and the best way to find your way back...or how to survive and attack"" are met through Challenge/Obstacle Types inherent in the survival scenario and creature encounters.\nChallenge/Obstacle Types (Noise) -> NPC Interaction Style (Creature hunts): The creature (NPC Presence & Type, though hostile) has an NPC Interaction Style where it ""does not actively hunt the character until they make a decision that involves a lot of noise"" (Challenge/Obstacle Type related to noise).\nInput Modality -> Choice & Consequence: The user's Input Modality (""The user is meant to respond with the action they choose to take such as 'I search for resources' or 'I walk to the north'"") directly leads to Choice & Consequence as ""You will take these decisions to dictate the way the story is going"".\nProgression Mechanics (Escape/Kill) -> Assessment (Summative): The Progression Mechanics involve trying to ""escape the forest by finding a man-made path...or killing the creature"", which leads to an Assessment (Summative): ""then they win the game"".","Narrative Framing,Player Role/Persona,Learning Objectives (Explicit),Challenge/Obstacle Types,NPC Interaction Style,Input Modality,Choice & Consequence,Progression Mechanics,Assessment (Summative),Resource Management (Inventory),NPC Presence & Type (Creature),Feedback System (how far away beast sounds)"
27,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Learning Objectives (Explicit) -> Instructional Content Delivery;Instructional Content Delivery -> Practice Opportunities;Practice Opportunities -> Feedback System;Narrative Framing -> Challenge/Obstacle Types (Bosses);NPC Presence & Type (Jester) -> Narrative Framing,"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role as a ""guide to mastering the art of poker"" has Learning Objectives (Explicit) to teach ""card combinations and understanding which hands reign supreme"".\nLearning Objectives (Explicit) -> Instructional Content Delivery: To teach poker basics (Learning Objectives (Explicit)), the AI provides Instructional Content Delivery like a ""table of which hands are stronger"".\nInstructional Content Delivery -> Practice Opportunities: After learning (Instructional Content Delivery), Practice Opportunities are provided through ""comparison, where two hands are shown, and the user has to choose the better hand"".\nPractice Opportunities -> Feedback System: During these comparisons (Practice Opportunities), if the user gets it wrong, the Feedback System involves the AI explaining ""why"" and prompting ""Ask why, so they can give the right answer"". Hints are also part of this system.\nNarrative Framing -> Challenge/Obstacle Types (Bosses): The Narrative Framing of a ""kingdom where you have to beat the bosses based on the cards"" introduces Challenge/Obstacle Types where ""level 1 fighting card 2 of hearts"" involves comparing hands with a boss.\nNPC Presence & Type (Jester) -> Narrative Framing: The NPC Presence & Type of a ""Jester"" who asks you to ""bring me the 12 cards you earn from bosses"" contributes to the kingdom Narrative Framing and overall quest structure.","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Instructional Content Delivery,Practice Opportunities,Feedback System,Narrative Framing,Challenge/Obstacle Types,NPC Presence & Type,Progression Mechanics (levels, beating bosses),Scaffolding (hints),Response Constraints"
